,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
846,-79.518758927,43.769157185,847,GO-20072373536,2007/08/19 04:00:00+00,2007,August,Sunday,231,19,14,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
848,-79.501498199,43.7414941580001,849,GO-20072552605,2007/11/27 05:00:00+00,2007,November,Tuesday,331,27,20,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5014981987246,43.7414941583243
850,-79.518758927,43.769157185,851,GO-20072233336,2007/05/31 04:00:00+00,2007,May,Thursday,151,31,22,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
856,-79.518758927,43.769157185,857,GO-20071994735,2007/05/07 04:00:00+00,2007,May,Monday,127,7,22,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
860,-79.514763739,43.76720514,861,GO-20072345729,2007/11/25 05:00:00+00,2007,November,Sunday,329,25,19,Evening,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
870,-79.518818412,43.7619114080001,871,GO-20071902458,2007/05/23 04:00:00+00,2007,May,Wednesday,143,23,14,Afternoon,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5188184121788,43.7619114084511
871,-79.4714769879999,43.7678203080001,872,GO-20072162156,2007/07/22 04:00:00+00,2007,July,Sunday,203,22,0,Night,D31,1,0,27,York University Heights,27,York University Heights (27),-79.4714769880066,43.7678203076073
872,-79.518758927,43.769157185,873,GO-20072595629,2007/11/11 05:00:00+00,2007,November,Sunday,315,11,0,Night,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
875,-79.504746886,43.743794237,876,GO-20082736642,2008/03/31 04:00:00+00,2008,March,Monday,91,31,21,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5047468859523,43.7437942370968
885,-79.5152277779999,43.7681488160001,886,GO-20082747961,2008/09/19 04:00:00+00,2008,September,Friday,263,19,21,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
907,-79.5095504829999,43.758905477,908,GO-20082801596,2008/07/04 04:00:00+00,2008,July,Friday,186,4,14,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5095504825815,43.758905477079
911,-79.515681163,43.7491415380001,912,GO-20082936311,2008/08/05 04:00:00+00,2008,August,Tuesday,218,5,4,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5156811631941,43.7491415377157
914,-79.515124825,43.7470881450001,915,GO-20082426053,2008/01/17 05:00:00+00,2008,January,Thursday,17,17,21,Evening,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5151248248268,43.7470881449389
915,-79.5152277779999,43.7681488160001,916,GO-20083048738,2008/11/23 05:00:00+00,2008,November,Sunday,328,23,16,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5152277778151,43.7681488158175
925,-79.5109334969999,43.7620786140001,926,GO-20083027815,2008/10/13 04:00:00+00,2008,October,Monday,287,13,18,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.510933497057,43.7620786144311
928,-79.509776771,43.760453672,929,GO-20082436269,2008/10/10 04:00:00+00,2008,October,Friday,284,10,22,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5097767709609,43.7604536720219
929,-79.48921809,43.756352,930,GO-20082704738,2008/03/14 04:00:00+00,2008,March,Friday,74,14,21,Evening,D32,1,5,27,York University Heights,27,York University Heights (27),-79.4892180901272,43.7563519995573
943,-79.5164867399999,43.752502629,944,GO-20083108303,2008/11/08 05:00:00+00,2008,November,Saturday,313,8,17,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984
953,-79.509677305,43.739666519,954,GO-20083048730,2008/11/11 05:00:00+00,2008,November,Tuesday,316,11,21,Evening,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773046176,43.7396665192647
